name,type,lat,lon
SEGALA [1er C]ycle,school,14.5608,-10.9733167
SEGALA [2ème C],school,14.5608,-10.9733167
SEGALABA,school,14.5589667,-10.9582333
SOMANKIDY [1er C].,school,14.5465833,-11.6076
SOMANKIDY [1er C] B,school,14.5465833,-11.6076
SOMANKIDY [2ème C].,school,14.5465833,-11.6076
TAMBONCANE,school,14.5664167,-11.6565333
TIGUINE,school,14.6962667,-11.01755
TINTILA,school,14.56905,-10.8487
SANGAFE,school,14.5876167,-10.37285
Sangafé Méddersa,school,14.5876167,-10.37285
SIBINDY,school,14.6001333,-10.34305
BAGOÏNI,school,15.1716837,-8.630153
BENGO,school,14.6071225,-6.8936796
BOULAL [2ème C],school,15.0781336,-8.4259205
DABABOUGOU,school,14.6216062,-8.2895877
DIGAN,school,14.7166097,-8.272225
DJIGUIBOUGOU,school,15.256597,-8.7342861
DJONGODJI,school,15.0234234,-8.1746702
ECOM de KORONIDO,school,14.0020072,-8.3325161
FALLOU [1er C],school,14.596501,-7.9314262
FALLOU [2ème C],school,14.5960557,-7.9311151
FOFARA,school,14.9971628,-8.3425177
GOULOUMBA,school,15.0657786,-8.3750927
GUIRE,school,14.6416962,-6.6949493
GUIRE [2ème C],school,14.6416694,-6.6953731
KARFABOUGOU,school,14.5401625,-8.0440195
KASSAKARE,school,15.3954197,-8.2312817
KEIBANE SONINKE,school,15.2497284,-7.2694195
KOLOMINA [2ème C],school,14.4743563,-8.0243925
KORON,school,14.6249163,-7.989201
MANTIONGA,school,15.3466622,-7.4589283
MANTIONGA (SABIL AL HIDAYA),school,15.4686592,-8.1242124
MED communautaire KEÏBANE SONINKE,school,15.2506116,-7.2700819
MED DIAFAR BEN MAHDY,school,14.6417445,-6.6954751
MEDERSA KEIBANE,school,15.2432178,-7.2707082
MOUNTA,school,15.3408792,-8.4999593
NIAMABOUGOU,school,15.0037265,-7.9462832
NIOKO,school,14.5685738,-6.4201088
N'TJIBOUGOU (FALLOU),school,14.7006335,-8.4340821
OUAÏNKA,school,15.3006564,-8.6186833
SAMBOUROU GOGO de BALAL,school,15.3498434,-7.7545189
SAME,school,15.031455,-8.0340012
SAMPAGA,school,15.1906352,-8.2768971
TANGANAGABA,school,15.0556145,-7.8283349
TIONTA,school,14.5677651,-8.2231431
