name,type,lat,lon,nearby_conflict_date
Ecole (A),school,16.2605581,-3.3956557,2015-05-02 00:00:00.000
Lycée Privée Fanta Kanté,school,13.2905084,-4.5882109,2021-05-12 00:00:00.000
SANTORO II,school,13.2982268,-4.9008483,2021-03-04 00:00:00.000
École Doura,school,13.9259887,-6.2108259,2023-02-03 00:00:00.000
École Doura [2ème C],school,13.9261237,-6.2103056,2023-02-03 00:00:00.000
"Groupe Scolaire ""Mission Catholique""",school,11.3213038,-5.6747989,2024-12-07 00:00:00.000
Lycée Public de Fana,school,12.7870914,-6.9443816,2022-06-23 00:00:00.000
SOUBLOU SALAM,school,13.3224655,-5.6382033,2022-10-21 00:00:00.000
École fondamentale Yangasso,school,13.0741035,-5.3192753,2022-08-04 00:00:00.000
TARIKOU NAJAHI,school,13.077122,-5.316185,2022-08-04 00:00:00.000
Groupe Fondamental Plateau II,school,12.709933,-7.4344439,2022-07-14 00:00:00.000
Unnamed School,school,13.6767675,-6.0719056,2022-11-09 00:00:00.000
Ecole Fondamentale Diamarabougou,school,13.6760932,-6.07213,2022-11-09 00:00:00.000
Premier Cycle de Dougabougou,school,13.8160851,-6.1233303,2021-05-27 00:00:00.000
Ecole Privée,school,13.8172493,-6.1205193,2021-05-27 00:00:00.000
Complexe Scolaire Daouda Kote de Bla,school,12.9580989,-5.7608802,2020-02-18 00:00:00.000
Maternité de Kassela,kindergarten,12.5914866,-7.6711154,2023-01-02 00:00:00.000
Unnamed School,school,12.6511138,-7.9919403,1991-03-01 00:00:00.000
Lycée Technique de Bamako,school,12.6544656,-7.9973573,1991-03-01 00:00:00.000
Ecole Publique de Darsalam,school,12.6546828,-8.0061123,1991-03-01 00:00:00.000
E.C.I.CA,school,12.6548974,-7.9964587,1991-03-01 00:00:00.000
Cours de Jeanne D'Arc,school,12.6468833,-7.9981983,1991-03-01 00:00:00.000
Aisso II,school,16.7718552,-3.0111946,1991-12-12 00:00:00.000
Second Cycle Allimame Ben Essayoute,school,16.7713052,-3.0108911,1991-12-12 00:00:00.000
Ecole Mahamane Alassant Haidara Tombouctou,school,16.7739975,-3.0106308,1991-12-12 00:00:00.000
Unnamed School,school,15.3749491,-11.4750946,2023-05-21 00:00:00.000
DOUENTZA A,school,15.00177,-2.95375,2013-01-12 00:00:00.000
DOUENTZA B,school,15.00212,-2.95212,2013-01-12 00:00:00.000
DOUENTZA [2ème C] III,school,15.00239,-2.95409,2013-01-12 00:00:00.000
DOUENTZA ''G'',school,15.00065,-2.95366,2013-01-12 00:00:00.000
TAHIROU CISSE 1er Cycle,school,14.45648,-4.91382,1994-07-01 00:00:00.000
Groupe Scolaire Dravéla,school,12.6437321,-8.0050135,1991-03-01 00:00:00.000
Ecole ABBA Cissé Primaire,school,16.7629214,-3.010596,1991-12-12 00:00:00.000
Lycée Franco-Arabe,school,16.7718348,-3.0041062,1991-12-12 00:00:00.000
Oumar Bagna Touré I,school,16.2615082,-3.3957687,2015-05-02 00:00:00.000
Ecole Barikobé,school,16.251671,-3.3992186,2015-05-02 00:00:00.000
LERNEB,school,16.3251245,-4.9640919,2019-07-25 00:00:00.000
Centre d'Animation Pedagogique de Diré (CAP),college,16.2497024,-3.3997899,2015-05-02 00:00:00.000
Institut de Formation des Maitres (IFM),college,16.2492567,-3.4012575,2015-05-02 00:00:00.000
Ecole nationale d'Ingénieur,college,12.6508782,-7.9977418,1991-03-01 00:00:00.000
MEDERSA KOUREMALE,school,11.9563775,-8.7801854,2024-03-07 00:00:00.000
KOKO [2ème C],school,12.7521799,-8.074795,2012-04-30 00:00:00.000
NOUMORILA A,school,12.7421192,-8.0699819,2012-04-30 00:00:00.000
NOUMORILA B,school,12.7421161,-8.0699837,2012-04-30 00:00:00.000
KATI Camp I,school,12.7406294,-8.0728813,2012-04-30 00:00:00.000
KATI Camp C,school,12.7406308,-8.0728793,2012-04-30 00:00:00.000
NOUMORILA [2ème C],school,12.7421176,-8.0699801,2012-04-30 00:00:00.000
KATI Camp II,school,12.7406294,-8.0728797,2012-04-30 00:00:00.000
KOKOBOUGOU II,school,12.7523927,-8.074812,2012-04-30 00:00:00.000
KOKOBOUGOU I,school,12.7525357,-8.0748257,2012-04-30 00:00:00.000
Unnamed School,school,16.8735735,-1.921038,1994-12-01 00:00:00.000
TAHIROU CISSE [2ème C],school,14.4567956,-4.9139363,1994-07-01 00:00:00.000
Unnamed School,school,14.7354882,-6.1232523,1995-01-06 00:00:00.000
Ecole Tieba A,school,11.3184108,-5.6689463,2024-12-07 00:00:00.000
IFP,school,11.3180689,-5.6699012,2024-12-07 00:00:00.000
1er Cycle,school,11.1211281,-5.3640184,2021-03-01 00:00:00.000
DRIMBE,school,15.0215818,-2.8960688,2019-10-02 00:00:00.000
Unnamed School,school,15.0764325,-2.2201328,2021-03-18 00:00:00.000
Unnamed School,school,15.2833785,-1.7009557,2022-04-19 00:00:00.000
Lycée Privée,school,11.6930527,-5.6641618,2021-04-23 00:00:00.000
Unnamed School,school,13.8153623,-6.1207406,2021-05-27 00:00:00.000
Lycée medersa Franco arabe Dar El Hadith,school,12.3875028,-5.4719901,2022-06-11 00:00:00.000
Ecole privé espoir djigy,school,13.6876609,-6.0711914,2022-11-09 00:00:00.000
franco-arabe BEN ALI,school,16.4120515,-3.6640145,2024-05-13 00:00:00.000
École publique de Segue [1er Cycle],school,13.8438327,-3.7576569,2024-12-15 00:00:00.000
Unnamed School,school,15.6289948,2.894073,2022-02-27 00:00:00.000
Unnamed School,school,15.91956,2.39649,1990-06-28 00:00:00.000
Ecole Fandamentale de Boura,school,12.4123157,-4.543013,2020-09-10 00:00:00.000
Second cycle de Boura,school,12.4104821,-4.5413554,2020-09-10 00:00:00.000
Ecole privée Pédagogue 2ème Cycle,school,14.0740148,-3.5192473,2021-02-28 00:00:00.000
ECOM DOUGOUNI,school,14.9917781,-7.4548942,2022-03-11 00:00:00.000
SADIO TAMBOURA [2ème C],school,14.9207,-4.59182,2018-06-18 00:00:00.000
SABIL EL FALAH (K13) (DOGOFRY),school,14.808601,-6.011862,2020-03-03 00:00:00.000
SAMALADIO,school,14.83,-1.954,2021-01-11 00:00:00.000
TOULEL,school,14.87815,-7.4412,2024-11-16 00:00:00.000
DOGOFRY [1er C] B,school,14.807818,-6.025718,2020-03-03 00:00:00.000
École fondamentale de Wala-Wala,school,12.3853683,-5.4607854,2022-06-11 00:00:00.000
MARKAZ ALKADI HAMID,school,16.2684551,-0.0503381,1994-11-13 00:00:00.000
Unnamed School,school,16.2684667,-0.0504749,1994-11-13 00:00:00.000
SANEYE A,school,16.2699743,-0.0470663,1994-11-13 00:00:00.000
SANEYE B,school,16.2699736,-0.0470194,1994-11-13 00:00:00.000
DJOULOUNA,school,14.54,-1.949,2019-05-11 00:00:00.000
DAROUL HADIS,school,14.95271,-3.3551,2020-03-15 00:00:00.000
TINTAN,school,14.94063,-3.34383,2020-05-26 00:00:00.000
TOULA,school,14.85871,-2.64609,2023-01-06 00:00:00.000
BOUDJIGUIRE,school,14.8813945,-6.8461026,2021-12-31 00:00:00.000
GOUMBOU [1er C] A,school,14.9919605,-7.4601943,2022-03-11 00:00:00.000
KALOUMBA,school,14.8590624,-7.4936683,2022-07-27 00:00:00.000
MED GOUMBOU [1er C],school,14.9873042,-7.4573726,2022-03-11 00:00:00.000
MED GOUMBOU [2ème C],school,14.9878728,-7.4573673,2022-03-11 00:00:00.000
GNINAGOU,school,14.78,-3.914,2020-04-12 00:00:00.000
TIME [1er C],school,14.97,-3.861,2022-10-31 00:00:00.000
SINGO-RANGABE,school,14.7859866,-6.0659472,2020-02-11 00:00:00.000
BORKO [1er C]YCLE,school,14.95271,-3.3551,2020-03-15 00:00:00.000
ISSEYE,school,14.87,-2.028,2016-12-19 00:00:00.000
DILLY [1er C],school,14.9953723,-7.6689721,2020-04-04 00:00:00.000
DILLY [2ème C],school,14.995088,-7.6691277,2020-04-04 00:00:00.000
GOUMBOU [2ème C],school,14.9925291,-7.4620719,2022-03-11 00:00:00.000
DOMONO,school,14.92013,-4.5903,2018-06-18 00:00:00.000
KONNA C,school,14.9435952,-3.8921628,2012-04-03 00:00:00.000
DOGOFRY [1er C] A,school,14.807818,-6.025718,2020-03-03 00:00:00.000
DOGOFRY [2ème C],school,14.807818,-6.025718,2020-03-03 00:00:00.000
FARABOUGOU,school,14.8883374,-6.1409236,2020-11-01 00:00:00.000
PETAKA,school,15.0255023,-2.8538923,2021-05-30 00:00:00.000
Unnamed School,school,15.6622885,0.5102536,2022-03-26 00:00:00.000
Second cycle de Niono,school,14.2489281,-5.9870455,2020-01-26 00:00:00.000
Lycée Attaher Ag Illy,school,18.4494143,1.411161,2024-10-16 00:00:00.000
KIMPARANA B,school,12.8376034,-4.9193059,2020-08-10 00:00:00.000
École catholique [1er C] de KORO,school,14.0627399,-3.0789572,2017-07-19 00:00:00.000
